,Unnamed: 0,brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,Horsepower,Displacement_L,Cylinder_Type,seat_numbers
31,31,BMW,i3 120Ah w/Range Extender,2020,35035,Hybrid,120 AH,Automatic,Black,Black,None reported,No,"$24,998",170.0,0.0,Electric,4.0
32,32,Kia,Sorento SX,2011,171000,Gasoline,276.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,"$5,999",276.0,3.5,V6,5.0
33,33,Lexus,LX 570 Base,2016,118700,Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Automatic,Black,Beige,None reported,Yes,"$46,900",383.0,5.7,V8,8.0
34,34,Jeep,New Compass Trailhawk,2017,119000,Gasoline,180.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Automatic,Red,Black,None reported,Yes,"$15,900",180.0,2.4,I4,5.0
35,35,BMW,340 i,2018,44261,Gasoline,3.0 Liter Turbo,Automatic,Gray,Black,None reported,No,"$33,598",320.0,3.0,I6,5.0
36,36,Audi,A4 2.0T Premium Plus quattro,2012,125575,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Silver,Black,None reported,Yes,"$8,999",211.0,2.0,I4,5.0
37,37,Hyundai,Tucson SE,2007,16200,Gasoline,173.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,Automatic,Gold,Beige,None reported,Yes,"$8,200",173.0,2.7,V6,5.0
38,38,BMW,Z4 sDrive28i,2014,70000,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,White,Beige,At least 1 accident or damage reported,Yes,"$20,000",240.0,2.0,I4,2.0
39,39,Bentley,Continental GTC Base,2011,20200,E85 Flex Fuel,552.0HP 6.0L 12 Cylinder Engine Flex Fuel Capability,Automatic,Black,Black,None reported,Yes,"$79,950",552.0,6.0,V12,4.0
40,40,Honda,Passport Elite,2023,2978,Gasoline,3.5 Liter SOHC,Automatic,Lunar Silver Metallic,Gray,None reported,No,"$45,498",280.0,3.5,V6,5.0
41,41,Dodge,Sprinter 2500,2007,189719,Diesel,3.0L V6 Cylinder Engine Diesel Fuel,Automatic,White,Gray,At least 1 accident or damage reported,Yes,"$14,000",188.0,3.0,V6,5.0
42,42,BMW,M850 i xDrive,2019,9949,Gasoline,4.4 Liter DOHC Twin Turbo,Automatic,Blue,Black,None reported,No,"$75,798",523.0,4.4,V8,4.0
43,43,Lucid,Air Grand Touring,2022,3552,not defined,536.0HP Electric Motor Electric Fuel System,Automatic,Red,Beige,None reported,Yes,"$119,999",536.0,0.0,Electric,5.0
44,44,Audi,A7 Premium,2012,54000,Gasoline,310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Brown,At least 1 accident or damage reported,Yes,"$36,880",310.0,3.0,V6,5.0
45,45,Chevrolet,Silverado 1500 Custom Trail Boss,2021,51351,Gasoline,5.3L V8 16V GDI OHV,Automatic,Black,Jet Black,None reported,Yes,"$43,147",355.0,5.3,V8,5.0
46,46,MINI,Convertible John Cooper Works,2017,24280,Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,At least 1 accident or damage reported,Yes,"$29,000",228.0,2.0,I4,4.0
47,47,Toyota,Avalon Touring,2016,89148,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,"$17,500",268.0,3.5,V6,5.0
48,48,Porsche,Cayenne Platinum Edition,2017,73043,Gasoline,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Automatic,White,Black,None reported,Yes,"$30,990",300.0,3.6,V6,5.0
49,49,Mercedes-Benz,AMG C 63 S,2017,60000,Gasoline,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Dual Shift,Gray,Black,At least 1 accident or damage reported,Yes,"$52,500",503.0,4.0,V8,4.0
50,50,Honda,CR-V EX-L,2016,73549,Gasoline,2.4L I4 16V GDI DOHC,Automatic,Mountain Air Metallic,Black,At least 1 accident or damage reported,No,"$20,848",190.0,2.4,I4,5.0
51,51,Hummer,H2 Base,2005,110900,Gasoline,325.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,Automatic,Gray,Black,None reported,Yes,"$19,500",325.0,6.0,V8,5.0
52,52,Porsche,911 Carrera S,2013,39000,Gasoline,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,Automatic,Blue,Black,None reported,Yes,"$73,000",400.0,3.8,Flat 6,2.0
53,53,Mercedes-Benz,CLA-Class CLA 250,2016,120000,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Dual Shift,Black,Black,None reported,Yes,"$19,800",208.0,2.0,I4,5.0
54,54,Chrysler,300 Touring,2009,134602,Gasoline,250.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Dual Shift,Blue,Black,None reported,Yes,"$7,500",250.0,3.5,V6,5.0
55,55,Nissan,Rogue SV,2023,1094,Gasoline,1.5L I3 12V GDI DOHC Turbo,Automatic,Caspian Blue,Light Gray,None reported,No,"$30,999",201.0,1.5,I3,5.0
56,56,Audi,A3 2.0T,2010,83500,Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Dual Shift,Silver,Black,None reported,Yes,"$6,500",200.0,2.0,I4,5.0
57,57,Ford,Mustang GT Premium,2014,37060,Gasoline,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Manual,Black,Black,None reported,Yes,"$28,500",420.0,5.0,V8,4.0
58,58,Acura,RL Technology,2010,97700,Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Dual Shift,Blue,Beige,None reported,Yes,"$10,995",300.0,3.7,V6,5.0
59,59,Volvo,XC90 Hybrid T8 R-Design,2018,40000,Plug-In Hybrid,400.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,Dual Shift,Black,Black,None reported,Yes,"$42,000",400.0,2.0,I4,7.0
60,60,Audi,R8 5.2 V10,2018,8940,Gasoline,5.2L V10 40V PDI DOHC,Automatic,Tango Red Metallic,Black,None reported,No,"$144,900",610.0,5.2,V10,2.0
61,61,Mercedes-Benz,GLK-Class GLK 350,2014,186000,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Beige,At least 1 accident or damage reported,Yes,"$10,000",302.0,3.5,V6,5.0
62,62,Toyota,C-HR LE,2021,13180,Gasoline,2.0 Liter,Automatic,–,–,None reported,No,"$23,998",144.0,2.0,I4,5.0
63,63,Lexus,IS 350 Base,2014,104000,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,"$21,000",306.0,3.5,V6,5.0
64,64,BMW,X4 M40i,2023,8500,Hybrid,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Dual Shift,Gray,Beige,None reported,Yes,"$67,900",382.0,3.0,I6,5.0
65,65,BMW,M4 CS,2019,19069,Gasoline,3.0 Liter DOHC Turbo,Automatic,Alpine White,Anthracite,None reported,No,"$69,998",453.0,3.0,I6,2.0
66,66,Cadillac,CT5 Premium Luxury,2023,6090,Gasoline,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,White,Beige,None reported,Yes,"$46,900",237.0,2.0,I4,5.0
67,67,Lucid,Air Grand Touring,2022,4900,not defined,536.0HP Electric Motor Electric Fuel System,Automatic,Red,Black,None reported,Yes,"$99,000",536.0,0.0,Electric,5.0
68,68,Audi,A5 2.0T Premium Plus,2019,47523,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Dual Shift,Black,Black,None reported,Yes,"$31,000",248.0,2.0,I4,5.0
69,69,Chrysler,300C SRT8,2006,43000,Gasoline,425.0HP 6.1L 8 Cylinder Engine Gasoline Fuel,Automatic,Silver,Black,At least 1 accident or damage reported,Yes,"$19,995",425.0,6.1,V8,5.0
70,70,Bentley,Continental GT W12,2017,14684,Gasoline,582.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,Automatic,White,White,None reported,Yes,"$130,000",582.0,6.0,V12,4.0
71,71,BMW,M4 Base,2019,57800,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Dual Shift,Black,Red,None reported,Yes,"$55,999",425.0,3.0,I6,2.0
72,72,Toyota,GR Corolla Circuit Edition,2023,952,Gasoline,300.0HP 1.6L 3 Cylinder Engine Gasoline Fuel,Manual,Silver,Gray,None reported,Yes,"$49,950",300.0,1.6,I3,4.0
73,73,Audi,RS 5 2.9T,2019,21240,Gasoline,444.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,At least 1 accident or damage reported,Yes,"$59,950",444.0,2.9,V6,4.0
74,74,Porsche,Cayenne Base,2019,59338,Gasoline,335.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Dual Shift,Black,Black,None reported,Yes,"$42,499",335.0,3.0,V6,5.0
75,75,Lamborghini,Huracan Tecnica Coupe,2023,255,Gasoline,"5.2L V-10 gasoline direct injection, DOHC, variable valve contro",Automatic,BLU ELEOS,Nero Ade,None reported,No,"$359,991",631.0,5.2,V10,2.0
76,76,Maserati,Quattroporte S,2019,23230,Gasoline,424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,"$44,999",424.0,3.0,V6,5.0
77,77,Jaguar,XF 35t R-Sport,2017,48000,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,Red,Black,At least 1 accident or damage reported,Yes,"$30,000",340.0,3.0,V6,5.0
78,78,Lexus,ES 330 Base,2005,41059,Gasoline,225.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,Automatic,White,Beige,None reported,Yes,"$11,100",225.0,3.3,V6,5.0
79,79,Land,Rover Discovery Sport SE R-Dynamic,2020,21240,Gasoline,2.0 Liter,Automatic,White,Black,None reported,No,"$37,998",246.0,2.0,I4,5.0
80,80,Porsche,Cayman GTS,2015,11500,Gasoline,340.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,Automatic,Silver,–,None reported,Yes,"$72,000",340.0,3.4,H6,2.0
81,81,Genesis,G90 3.3T Premium,2021,9950,Gasoline,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,Automatic,Silver,Blue,None reported,Yes,"$53,950",365.0,3.3,V6,5.0
82,82,Volkswagen,Golf R 20th Anniversary Edition,2023,633,Gasoline,315.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Manual,White,Black,None reported,Yes,"$47,999",315.0,2.0,I4,5.0
83,83,Hyundai,Sonata Hybrid Limited,2015,66000,Hybrid,199.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,Automatic,White,Gray,At least 1 accident or damage reported,Yes,"$15,900",199.0,2.4,I4,5.0
84,84,Audi,RS 7 4.0T Prestige,2014,59715,Gasoline,560.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Automatic,Gray,Black,At least 1 accident or damage reported,Yes,"$45,000",560.0,4.0,V8,5.0
85,85,BMW,740 Li,2012,85252,Gasoline,326.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,"$18,500",326.0,3.0,I6,5.0
86,86,Mercedes-Benz,GLS 450 Base 4MATIC,2020,17900,Hybrid,362.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Automatic,Black,Black,At least 1 accident or damage reported,Yes,"$80,000",362.0,3.0,I6,7.0
87,87,BMW,M6 Base,2016,25500,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Automatic,White,Black,None reported,Yes,"$55,000",560.0,4.4,V8,4.0
88,88,Subaru,Forester 2.5 X,2004,210703,Gasoline,165.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Manual,Green,Beige,not defined,No,"$2,300",165.0,2.5,I4,5.0
89,89,Hyundai,Elantra N Base,2023,3800,Gasoline,276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Manual,White,Black,None reported,Yes,"$34,000",276.0,2.0,I4,5.0
90,90,Kia,Niro Plug-In Hybrid EX Premium,2022,36602,Hybrid,1.6L I4 16V GDI DOHC Hybrid,Automatic,Horizon Blue,Charcoal,None reported,Yes,"$31,995",139.0,1.6,I4,5.0
91,91,Rivian,R1S Adventure Package,2023,2800,not defined,835.0HP Electric Motor Electric Fuel System,Automatic,White,Green,None reported,Yes,"$92,000",835.0,0.0,Electric,7.0
92,92,Aston,Martin DBS Superleggera,2021,2165,Gasoline,5.2L V12 48V GDI DOHC Twin Turbo,Automatic,Black,Black,None reported,Yes,"$279,950",715.0,5.2,V12,2.0
93,93,Mercedes-Benz,SLC 300 Base,2018,33000,Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Red,Black,At least 1 accident or damage reported,Yes,"$29,900",241.0,2.0,I4,2.0
94,94,BMW,435 Gran Coupe i,2016,76009,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,White,Beige,None reported,Yes,"$24,950",300.0,3.0,I6,5.0
95,95,Jeep,Grand Cherokee Summit,2020,31349,Gasoline,5.7L V8 16V MPFI OHV,Automatic,Granite Crystal Clearcoat Metallic,Black,None reported,No,"$39,366",357.0,5.7,V8,5.0
96,96,Lexus,RC 350 Base,2015,48000,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Dual Shift,Orange,Red,None reported,Yes,"$32,900",306.0,3.5,V6,4.0
97,97,BMW,525 i,2005,91420,Gasoline,215.0HP 2.5L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,"$8,900",215.0,2.5,I6,5.0
98,98,Toyota,Corolla LE,2003,124756,Gasoline,130.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,Manual,Beige,Beige,At least 1 accident or damage reported,Yes,"$4,995",130.0,1.8,I4,5.0
99,99,Cadillac,CT5-V Blackwing,2023,2415,Gasoline,6.2L V8 16V GDI OHV Supercharged,Automatic,Rift Metallic,Gray,None reported,No,"$104,900",668.0,6.2,V8,5.0
100,100,GMC,Acadia SLT-1,2012,116226,Gasoline,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,"$7,900",288.0,3.6,V6,7.0
101,101,Lexus,LC 500 Base,2020,37869,Gasoline,5.0L V8 32V PDI DOHC,Automatic,Atomic Silver,Rioja Red,None reported,No,"$75,950",471.0,5.0,V8,2.0
102,102,BMW,i8 Base,2019,41500,Plug-In Hybrid,369.0HP 1.5L 3 Cylinder Engine Plug-In Electric/Gas,Dual Shift,White,Black,None reported,Yes,"$86,000",369.0,1.5,I3,4.0
103,103,Lexus,ES 300h Base,2013,87001,Hybrid,200.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,Automatic,Gold,Beige,None reported,Yes,"$17,995",200.0,2.5,I4,5.0
104,104,Cadillac,CT5-V V-Series,2022,4451,Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,Automatic,Summit White,Jet Black,At least 1 accident or damage reported,Yes,"$55,655",360.0,3.0,V6,5.0
105,105,BMW,540 i xDrive,2020,27158,Gasoline,2.0 Liter Turbo,Automatic,Imperial Blue Metallic,Canberra Beige/Black,None reported,No,"$39,998",248.0,2.0,I4,5.0
106,106,Chevrolet,Express 1500 Work Van,2014,139804,Gasoline,195.0HP 4.3L V6 Cylinder Engine Gasoline Fuel,Automatic,White,Gray,At least 1 accident or damage reported,Yes,"$14,500",195.0,4.3,V6,2.0
107,107,Jeep,Gladiator Rubicon,2022,27300,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Automatic,Green,Black,None reported,Yes,"$47,500",285.0,3.6,V6,5.0
108,108,BMW,Z4 sDrive28i,2014,36812,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Dual Shift,White,Beige,None reported,Yes,"$27,000",240.0,2.0,I4,2.0
109,109,Land,Rover LR4 HSE LUX Landmark Edition,2016,144000,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,At least 1 accident or damage reported,Yes,"$18,000",340.0,3.0,V6,5.0
110,110,Cadillac,XT4 Sport,2019,44500,Gasoline,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Blue,White,None reported,Yes,"$28,900",237.0,2.0,I4,5.0
111,111,BMW,750 750i xDrive,2021,10917,Gasoline,4.4 Liter Twin Turbo,Automatic,Black,Black,None reported,No,"$73,998",523.0,4.4,V8,5.0
112,112,Bentley,Arnage R,2005,8332,Gasoline,400.0HP 6.75L 8 Cylinder Engine Gasoline Fuel,Automatic,White,Beige,None reported,Yes,"$47,350",400.0,6.8,V8,4.0
113,113,Lincoln,Aviator Reserve AWD,2020,51247,Gasoline,3.0 Liter GTDI,Automatic,Magnetic Gray Clearcoat,Roast,None reported,No,"$47,698",400.0,3.0,V6,7.0
114,114,Mercedes-Benz,AMG GL AMG GL 63 4MATIC,2016,69000,Gasoline,550.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,Dual Shift,Black,Brown,None reported,Yes,"$36,500",550.0,5.5,V8,7.0
115,115,RAM,ProMaster 3500 High Roof,2021,147834,Gasoline,3.6L V6 24V MPFI DOHC,Automatic,Bright White Clearcoat,Black,None reported,Yes,"$32,662",280.0,3.6,V6,2.0
116,116,Ford,Utility Police Interceptor Base,2013,105000,E85 Flex Fuel,300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,Automatic,White,Black,At least 1 accident or damage reported,Yes,"$6,600",300.0,3.7,V6,5.0
117,117,Audi,A5 2.0T Premium,2011,92203,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Dual Shift,Red,Beige,None reported,Yes,"$9,995",211.0,2.0,I4,5.0
118,118,Nissan,GT-R Premium,2010,15600,Gasoline,485.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Dual Shift,White,Black,None reported,Yes,"$69,500",485.0,3.8,V6,2.0
119,119,Land,Rover Range Rover Sport 3.0L Supercharged HSE,2018,104700,Gasoline,V6,Automatic,Fuji White,Ivory / Ebony,At least 1 accident or damage reported,No,"$30,775",340.0,3.0,V6,5.0
120,120,Toyota,Corolla LE,2010,72348,Gasoline,132.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,Automatic,Red,Gray,At least 1 accident or damage reported,Yes,"$9,995",132.0,1.8,I4,5.0
121,121,Rivian,R1S Adventure Package,2023,2500,not defined,835.0HP Electric Motor Electric Fuel System,Automatic,Green,White,None reported,Yes,"$94,000",835.0,0.0,Electric,7.0
122,122,Mercedes-Benz,C-Class C300 4MATIC,2022,13177,Gasoline,2.0 Liter Turbo,Automatic,White,Silk Beige/Black,None reported,No,"$44,798",255.0,2.0,I4,5.0
123,123,Porsche,Cayenne E-Hybrid S,2016,96000,Plug-In Hybrid,416.0HP 3.0L V6 Cylinder Engine Plug-In Electric/Gas,Dual Shift,White,Red,At least 1 accident or damage reported,Yes,"$23,000",416.0,3.0,V6,5.0
124,124,Chevrolet,Express 1500 Work Van,2011,93009,E85 Flex Fuel,5.3L V8 16V MPFI OHV Flexible Fuel,Automatic,Summit White,Medium Pewter,None reported,Yes,"$22,495",355.0,5.3,V8,2.0
125,125,INFINITI,Q70h Base,2016,52750,Hybrid,360.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,Automatic,White,Black,At least 1 accident or damage reported,Yes,"$28,998",360.0,3.5,V6,5.0
126,126,Audi,A7 Premium Plus,2020,25361,Hybrid,3.0 Liter Turbo,Automatic,Typhoon Gray,Black,None reported,No,"$49,998",335.0,3.0,V6,5.0
127,127,Audi,Q7 3.0T Premium Plus,2015,98527,Gasoline,280.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,not defined,No,"$9,995",280.0,3.0,V6,7.0
128,128,Lucid,Air Pure,2023,1300,not defined,620.0HP Electric Motor Electric Fuel System,Automatic,Black,Gray,not defined,No,"$86,900",620.0,0.0,Electric,5.0
129,129,Chrysler,Pacifica Touring,2017,87305,not defined,–,Automatic,Silver,Black,None reported,Yes,"$9,000",287.0,3.6,V6,7.0
130,130,Audi,TTS 2.0T Premium Plus,2012,72922,Gasoline,265.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,White,Black,not defined,No,"$25,999",265.0,2.0,I4,4.0
131,131,BMW,650 Gran Coupe i xDrive,2015,41000,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,"$30,000",445.0,4.4,V8,4.0
132,132,Subaru,Forester Premium,2021,42125,Gasoline,2.5L H4 16V GDI DOHC,Automatic,Crystal Black Silica,Black,None reported,Yes,"$27,899",182.0,2.5,H4,5.0
133,133,Mercedes-Benz,AMG C AMG C 63,2016,62000,Gasoline,469.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Dual Shift,Black,Black,None reported,Yes,"$40,000",469.0,4.0,V8,4.0
134,134,Land,Rover LR3 HSE,2006,153843,Gasoline,300.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Automatic,Red,Beige,At least 1 accident or damage reported,Yes,"$9,950",300.0,4.4,V8,7.0
